,sexo,idade,altura,peso,historico_obesidade_familia,consome_comida_calorica,consome_vegetais,n_refeicoes,come_entre_refeicoes,fuma,consumo_diario_agua,frequencia_atividade_fisica,tempo_usando_eletronicos,consumo_alcool,tipo_transporte
31,0.0,19.515324,1.879144,112.932984,1.0,1.0,2.0,2.152733,2.0,0.0,2.53369,0.917563,1.285838,2.0,1.0
32,1.0,18.603496,1.681719,90.671871,1.0,1.0,1.524428,3.0,2.0,0.0,1.383831,0.130417,1.0,2.0,1.0
33,1.0,21.962426,1.57206,43.919835,0.0,0.0,3.0,1.600812,3.0,0.0,2.651258,0.600817,0.0,0.0,1.0
34,0.0,20.0,1.56,45.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0
35,0.0,25.897443708366072,1.796415,120.988454,1.0,1.0,2.475892,3.0,2.0,0.0,2.949356,1.866839,0.100048,2.0,1.0
36,1.0,26.0,1.618573,104.928643,1.0,1.0,3.0,3.0,2.0,0.0,1.698767,0.0,0.54396,2.0,1.0
37,0.0,30.79626,1.789421,109.599453,1.0,1.0,2.21498,2.282392,2.0,0.0,1.179942,1.771754,0.537659,2.0,0.0
38,1.0,33.251015,1.730379,75.920519,1.0,1.0,2.013782,2.625942,2.0,0.0,1.045586,0.553305,0.480214,2.0,0.0
39,1.0,23.0,1.608469,82.954796,1.0,1.0,2.150054,2.988539,2.0,0.0,2.768325,2.08515,0.0,0.0,1.0
40,1.0,22.0,1.7,66.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0
41,0.0,20.0,1.6,50.0,1.0,0.0,2.0,4.0,3.0,1.0,2.0,3.0,2.0,0.0,1.0
42,0.0,29.409825,1.801224,108.15619,1.0,1.0,2.385502,2.883984,2.0,0.0,2.140544,1.144876,1.767468,2.0,0.0
43,1.0,26.0,1.650125,111.939671,1.0,1.0,3.0,3.0,2.0,0.0,2.770732,0.0,0.125235,2.0,1.0
44,1.0,40.993179,1.567756,79.493626,1.0,1.0,2.0,3.0,2.0,0.0,2.952506,0.0,0.0,0.0,0.0
45,0.0,25.846279,1.772731,115.828167,1.0,1.0,2.381164,3.0,2.0,0.0,2.170225,1.211048,1.89933,2.0,1.0
46,0.0,23.32012,1.705813,82.011962,1.0,1.0,2.784471,2.122545,2.0,0.0,2.984153,2.164472,0.203978,2.0,1.0
47,1.0,18.233541,1.792378,137.859737,1.0,1.0,3.0,3.0,2.0,0.0,2.838893,1.990317,0.735868,2.0,1.0
48,0.0,19.16097,1.662728,77.473204,1.0,0.0,2.008656,1.402771,2.0,0.0,3.0,0.112383,0.32803,2.0,1.0
49,0.0,29.43879,1.770126,108.602715,1.0,1.0,3.0,3.0,2.0,0.0,1.163264,0.8090817890470214,1.604608,2.0,0.0
50,1.0,31.0,1.68,63.0,1.0,1.0,3.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,0.0
51,0.0,17.0,1.66,60.01509893685082,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0
52,1.0,22.547298,1.722461,51.881263,1.0,1.0,2.663421,3.0,3.0,0.0,1.04111,0.794402,1.391948,0.0,1.0
53,0.0,31.641081,1.676595,89.993812,1.0,1.0,2.934671,2.119682,2.0,0.0,2.041462,0.578074,0.0,2.0,1.0
54,0.0,31.761799,1.751688,119.205308,1.0,1.0,2.14961,3.0,2.0,0.0,2.133876,0.393452,0.345887,2.0,0.0
55,0.0,33.0,1.85,99.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0
56,0.0,20.580984,1.798354,78.76370609246678,1.0,1.0,2.0,3.0,2.0,0.0,2.401315,2.891986,0.0,0.0,1.0
57,1.0,25.706285,1.585547,80.351263,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0
58,0.0,19.627,1.815409,85.302146,1.0,1.0,2.987148,3.483449,2.0,0.0,2.359246,2.060415,0.598999,2.0,1.0
59,0.0,27.266287,1.828276,120.872294,1.0,1.0,2.5884095601507284,3.0,2.0,0.0,2.966647,1.159598,0.758897,2.0,1.0
60,0.0,33.185661,1.836007,97.416417,1.0,1.0,2.0,1.724887,2.0,0.0,3.0,1.0,0.0,2.0,0.0
61,0.0,19.72925,1.793315,58.19515,1.0,1.0,2.508835,3.435905,2.0,0.0,2.076933,1.7220823809208872,1.443328,0.0,1.0
62,1.0,19.431662,1.631662,82.0,1.0,1.0,2.843456,2.937989,2.0,0.0,1.001995,0.0,1.554404,0.0,1.0
63,0.0,23.096353,1.728183,74.35919223416235,1.0,1.0,2.0,2.986172,2.0,0.0,2.364208,2.492402,1.632506,0.0,1.0
64,1.0,26.0,1.621245,111.267334,1.0,1.0,3.0,3.0,2.0,0.0,2.605685,0.0,0.199227,2.0,1.0
65,0.0,20.068432,1.657132,105.580491,1.0,1.0,2.724121,1.437959,2.0,0.0,1.590418,0.029603,1.122118,0.0,1.0
66,1.0,18.312665,1.60074,82.249831,1.0,1.0,2.501236,3.0,2.0,0.0,1.220331,0.245003,0.537202,0.0,1.0
67,0.0,21.0,1.71,100.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0
68,0.0,24.0668389728189,1.69151,102.59518,1.0,1.0,2.680375,1.089048,2.0,0.0,1.366238,0.181324,1.041677,0.0,1.0
69,0.0,17.908114,1.793926,59.682591,1.0,1.0,2.568063,4.0,2.0,0.0,2.0,2.0,0.220029,0.0,0.0
70,1.0,19.0,1.54,42.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0
71,0.0,19.515324,1.879144,112.932984,1.0,1.0,2.0,2.152733,2.0,0.0,2.53369,0.917563,1.285838,2.0,1.0
72,0.0,28.712995,1.665585,98.66176,1.0,1.0,2.95801,2.834253,2.0,0.0,1.0,1.999886,0.0,0.0,1.0
73,0.0,25.897443708366072,1.796415,120.988454,1.0,1.0,2.475892,3.0,2.0,0.0,2.949356,1.866839,0.100048,2.0,1.0
74,0.0,17.0,1.844749,59.313525,1.0,1.0,2.432886,3.0,2.0,0.0,2.1645063151661863,2.697949,1.0,0.0,0.0
75,1.0,19.821996,1.653431,75.090439,1.0,0.0,2.766036,2.443812,2.0,0.0,2.707927,0.702839,0.827439,2.0,1.0
76,0.0,31.484494,1.707613,82.586893,1.0,1.0,2.795086,3.250467,2.0,0.0,1.367876,0.022958,0.0,0.0,0.0
77,0.0,22.851834,1.854592,63.611109,1.0,1.0,3.0,3.691226,2.0,0.0,2.650989,1.228136,0.8324,2.0,0.0
78,0.0,28.825279,1.815347,120.399758,1.0,1.0,2.9673,3.0,2.0,0.0,2.530035,1.1601782487435957,0.947866,2.0,0.0
79,0.0,22.635958429162983,1.855779,86.098523,1.0,1.0,2.0,2.372339,2.0,0.0,1.675733,1.066241,1.0,2.0,0.0
80,1.0,25.919241,1.611462,102.093223,1.0,1.0,3.0,3.0,2.0,0.0,1.023328,0.05093,1.0,2.0,1.0
81,1.0,17.099015,1.6,65.0,1.0,1.0,3.0,2.401341,2.0,0.0,2.0,0.663896,1.753745,2.0,1.0
82,1.0,23.0,1.66,58.24460724679241,1.0,0.0,2.0,3.0,2.0,0.0,2.0,3.0,0.0,2.0,1.0
83,0.0,23.0,1.72,66.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0
84,1.0,26.0,1.650125,111.939671,1.0,1.0,3.0,3.0,2.0,0.0,2.770732,0.0,0.125235,2.0,1.0
85,1.0,18.869151,1.756774,79.989789,1.0,1.0,2.0,2.658639,2.0,0.0,2.781628,1.955992,1.409198,3.0,1.0
86,1.0,38.0,1.5,60.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0
87,0.0,26.348156,1.830317,117.75701,1.0,1.0,2.068834,3.0,2.0,0.0,2.2035791333220036,1.217993,0.038253,2.0,1.0
88,0.0,18.0,1.717826,51.7325,1.0,1.0,2.043137445456305,3.0,2.0,0.0,1.325326,0.227985,1.708309,2.0,1.0
89,0.0,19.0,1.56,50.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.8716514112951678,0.0,1.0
90,1.0,38.0,1.5,60.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0
91,1.0,33.251015,1.730379,75.920519,1.0,1.0,2.013782,2.625942,2.0,0.0,1.045586,0.553305,0.480214,2.0,0.0
92,1.0,18.0,1.456346,55.523481,0.0,1.0,2.0,3.0,2.0,0.0,1.040342,0.497373,1.783319,2.0,1.0
93,0.0,22.771001,1.86516,121.527369,1.0,1.0,2.739,2.740492,2.0,0.0,1.824561,1.094839,0.0,2.0,1.0
94,1.0,25.617227,1.628019,108.265922,1.0,1.0,3.0,3.0,2.0,0.0,1.6213,0.090917,0.438216,2.0,1.0
95,1.0,39.0,1.600923140506347,50.0,0.0,1.0,3.0,4.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0
96,1.0,25.989938,1.644199,105.036075,1.0,1.0,3.0,3.0,2.0,0.0,2.310076,0.07115,0.733085,2.0,1.0
97,1.0,24.449655,1.635062,113.277388,1.0,1.0,3.0,3.0,2.0,0.0,2.578038,0.165422,0.463196,2.0,1.0
98,0.0,23.0,1.72,97.20342967520875,1.0,0.0,3.0,2.669450824609331,3.0,0.0,1.0,0.0,0.0,2.0,1.0
99,0.0,38.71216,1.770278,117.29188,1.0,1.0,2.252382,2.842848,2.0,0.0,1.879381,0.919388,0.0,2.0,0.0
100,0.0,22.927011,1.751046,95.285898,1.0,1.0,2.0,3.0,2.0,0.0,2.530301,2.89118,1.287117,0.0,1.0
101,0.0,22.0,1.65,80.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,0.0,2.0
102,1.0,25.909353,1.644078,102.277765,1.0,1.0,3.0,3.0,2.0,0.0,1.029241,0.075776,1.0,2.0,1.0
103,1.0,26.0,1.643017,111.720238,1.0,1.0,3.0,3.0,2.0,0.0,2.632498,0.0,0.140792,2.0,1.0
104,0.0,19.97981,1.75336,54.997374,1.0,1.0,2.0,3.494849,2.0,0.0,2.976672,1.94907,2.0,0.0,1.0
105,0.0,25.822348,1.766626,114.187096,1.0,1.0,2.075321,3.0,2.0,0.0,2.144838,1.501754,0.276319,2.0,1.0
106,0.0,19.725718,1.746529,129.363771,1.0,1.0,2.667582927277259,3.0,2.0,0.0,2.250711,0.64235,0.685129,2.0,1.0
107,1.0,23.0,1.48,60.0,1.0,1.0,2.0,1.0,2.0,1.0,1.7903278863571304,0.0,0.0,2.0,1.0
108,0.0,18.0,1.74,77.00314768759617,0.0,0.0,3.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0
109,1.0,26.0,1.629191,104.826776,1.0,1.0,3.0,3.0,2.0,0.0,2.654702,0.0,0.555468,2.0,1.0
110,0.0,29.695603,1.842943,93.798055,1.0,1.0,2.133955,3.080215962391761,2.0,0.0,1.753464,1.729987,1.0,2.0,1.0
111,0.0,26.225442,1.773664,107.67256264409227,1.0,1.0,2.442536,3.0,2.0,0.0,2.174371,0.0,1.928972,2.0,1.0
112,0.0,33.732714,1.679725,74.885222,1.0,1.0,3.0,1.13715,2.0,0.0,1.000695,0.261274,0.0,2.0,0.0
113,0.0,19.741202,1.816783,86.522799,1.0,1.0,2.0,3.0,2.0,0.0,2.177386,0.336814,0.004813,2.0,1.0
114,0.0,28.255199,1.816547,120.699119,1.0,1.0,2.997951,3.0,2.0,0.0,2.715856,0.739881,0.972054,2.0,0.0
115,0.0,18.525834,1.776989,57.275946,1.0,1.0,2.0,3.747163,2.0,0.0,2.575535,2.0,1.84383,0.0,0.0
116,1.0,25.42724,1.683502,104.759643,1.0,1.0,3.0,3.0,2.0,0.0,1.525127,0.220825,0.896105,2.0,1.0
117,0.0,25.300208,1.765258,82.02406694350842,1.0,1.0,1.562804,3.0,2.0,0.0,2.075493,1.553734,0.000436,2.0,1.0
118,1.0,26.851401096895398,1.532897,65.031879,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.262171,0.0,0.0,1.0
119,0.0,19.0,1.71,71.0,0.0,1.0,3.0,3.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0
120,1.0,27.0,1.55,62.877347,0.0,1.0,2.244142,1.704828,2.0,0.0,1.0,0.792929,0.395468,2.0,1.0
121,1.0,24.284833,1.650726,113.774198,1.0,1.0,3.0,3.0,2.0,0.0,2.75137,0.324913,0.516764,2.0,1.0
122,1.0,24.0,1.7,80.0,1.0,1.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0
123,0.0,29.389239,1.681855,90.0,1.0,1.0,2.08841,2.644692,2.0,0.0,2.773236,1.252472,0.0,2.0,0.0
124,0.0,18.611197,1.714143,96.568814,1.0,1.0,2.0,2.967089,2.0,0.0,2.0,0.0,0.467048,0.0,1.0
125,0.0,17.412629,1.7157147178115575,97.350366,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,0.931721,0.0,1.0
126,0.0,31.689773,1.76569,120.082941,1.0,1.0,2.821727,3.0,2.0,0.0,2.173279,1.096556,0.232858,2.0,0.0
127,1.0,19.262934,1.741014,132.57927,1.0,1.0,3.0,3.0,2.0,0.0,2.436261,1.464674,0.87092,2.0,1.0
128,1.0,19.0,1.559567,42.12617,0.0,1.0,3.0,1.989398,2.0,0.0,2.241607,0.206025,0.284453,0.0,1.0
129,1.0,19.442663,1.627812,82.0,1.0,1.0,1.081585,2.870661,2.0,0.0,1.11756,0.0,1.616826,2.0,1.0
130,0.0,19.0,1.7,77.78900797723551,1.0,0.0,2.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0
131,1.0,18.985119,1.759117,80.0,1.0,1.0,2.0,1.411808,2.0,0.0,2.651194,2.878414,0.953841,0.0,1.0
132,0.0,33.0,1.75,85.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0
133,0.0,22.0,1.68,55.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0
134,0.0,21.652229,1.700181,73.25980648032024,1.0,1.0,2.086093,3.546352,2.0,0.0,2.081121,1.993666,0.673835,2.0,1.0
135,0.0,37.056193,1.75015,118.206565,1.0,1.0,2.09283,3.0,2.0,0.0,2.077704,0.598655,0.0,2.0,0.0
136,0.0,23.0,1.701584,75.093569,1.0,1.0,3.0,3.205009,2.0,0.0,2.643468,0.998039,1.898139,2.0,1.0
137,1.0,23.0,1.728834,51.442293,1.0,1.0,2.0,3.0,3.0,0.0,1.229915,0.619533,2.0,0.0,1.0
138,0.0,18.0,1.782722,108.044313,1.0,1.0,2.0,2.655265,2.0,0.0,2.297896,1.0,0.552665,0.0,1.0
139,0.0,21.721507,1.849998,122.119682,1.0,1.0,3.0,2.014671,2.0,0.0,1.292786,0.145687,0.0,2.0,1.0
140,0.0,19.443639,1.744733,87.27989,1.0,1.0,2.442536,3.0,2.0,0.0,2.825629,3.0,0.0,2.0,1.0
141,1.0,26.0,1.59,47.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0
142,0.0,19.084317,1.851123,61.264785,1.0,1.0,3.0,3.994588,2.0,0.0,2.548527,1.285976,0.267076,2.0,0.0
143,1.0,21.016849,1.724268,133.033523,1.0,1.0,3.0,3.0,2.0,0.0,1.650612,1.537639,0.912457,2.0,1.0
144,0.0,31.630054,1.671705,90.0,1.0,1.0,2.467002,1.851088,2.0,0.0,2.104054,1.991565,0.0,2.0,0.0
145,0.0,33.015258,1.73196,84.315608,1.0,1.0,2.0,3.0,2.0,0.0,2.205911,1.293396,0.0,2.0,0.0
146,1.0,21.0,1.72,66.5,1.0,1.0,3.0,4.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0
147,0.0,21.997335,1.65,80.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0.527341,2.0,0.0,1.0
148,1.0,21.0,1.65,88.0,1.0,1.0,3.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0
149,0.0,26.684354,1.819535,118.332689,1.0,1.0,1.975675,3.0,2.0,0.0,2.357969,0.704236,0.010721,2.0,1.0
150,0.0,21.544554,1.84998,122.609911,1.0,1.0,3.0,1.971659,2.0,0.0,1.179254,0.178856,0.0,2.0,1.0
151,1.0,17.000433,1.584951,44.411801,0.0,1.0,2.737762,3.0,2.0,0.0,2.310921,2.240714,1.59257,2.0,1.0
152,0.0,19.556729,1.767563,56.307019,1.0,1.0,2.362918,4.0,2.0,0.0,2.358172,2.0,0.939819,0.0,0.0
153,0.0,21.0,1.62,70.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.7194709150771239,2.0,1.0
154,0.0,23.365649,1.757691,95.361795,1.0,1.0,2.4690026166676238,3.0,2.0,0.0,3.0,3.0,2.0,0.0,1.0
155,1.0,18.423482,1.735461,126.798173,1.0,1.0,3.0,3.0,2.0,0.0,2.38639,1.544632,0.900067,2.0,1.0
156,1.0,19.090023,1.562434,70.442775,1.0,0.0,2.748243,3.070386,2.0,0.0,1.962322,1.145752,1.0,0.0,1.0
157,1.0,26.0,1.626483,111.357062,1.0,1.0,3.0,3.0,2.0,0.0,2.61939,0.0,0.171034,2.0,1.0
158,1.0,38.148845,1.557808,79.661693,1.0,1.0,2.0,3.0,2.0,0.0,1.274774,0.0,0.0,2.0,0.0
159,0.0,30.605464,1.754796,118.805937,1.0,1.0,2.907542,3.0,2.0,0.0,2.284494,0.647632,1.668318,2.0,0.0
160,1.0,18.0,1.62,68.0,0.0,0.0,2.0,1.0,2.0,0.0,1.7955972544782246,0.0,2.0,0.0,1.0
161,0.0,27.991467,1.82559,120.860386,1.0,1.0,3.0,3.0,2.0,0.0,3.0,0.691369,1.415536,2.0,1.0
162,0.0,21.098035,1.690437,96.366777,1.0,1.0,2.0,2.95833,2.0,0.0,2.0,0.0,1.595306,0.0,1.0
163,0.0,21.0,1.85,83.0,1.0,1.0,2.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0
164,1.0,18.0,1.7,50.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0
165,1.0,18.0,1.692242,90.019501,1.0,1.0,2.642744,3.0,2.0,0.0,1.904054,1.645654,0.363549,2.0,1.0
166,1.0,18.83919,1.624831,69.975607,1.0,1.0,2.253998,2.752318,2.0,0.0,2.328331,0.815509,0.024088,0.0,1.0
167,0.0,16.0,1.82,71.0,1.0,1.0,2.0,3.0,3.0,0.0,2.0,2.0,1.0,2.0,1.0
168,1.0,21.0,1.69,63.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0
169,1.0,25.908431,1.687849664113785,103.026858,1.0,1.0,3.0,3.0,2.0,0.0,1.077253,0.162083,0.824607,2.0,1.0
170,1.0,26.0,1.622701,109.982692,1.0,1.0,3.0,3.0,2.0,0.0,2.688229,0.0,0.451377,2.0,1.0
171,0.0,30.403205,1.696365,102.815983,1.0,1.0,2.79166,2.13229,2.0,0.0,1.254589,0.652736,1.040713,0.0,1.0
172,1.0,22.867719,1.655413,50.424661,1.0,1.0,3.0,3.642802,2.0,0.0,1.995177,0.118271,0.065515,0.0,1.0
173,0.0,19.241058,1.856811,88.633616,1.0,1.0,2.047069,2.937809800104221,2.0,0.0,1.641022,1.554817,0.248218,2.0,1.0
174,0.0,18.011718,1.680991,79.752916,1.0,1.0,2.413156,2.521546,2.0,0.0,1.985312,0.00705,0.8934593660665269,2.0,1.0
175,1.0,26.0,1.643332,110.824698,1.0,1.0,3.0,3.0,2.0,0.0,2.709654,0.0,0.5557810477329739,2.0,1.0
176,1.0,19.349258,1.52337,42.0,0.0,1.0,2.913486,1.060796,3.0,0.0,1.596212,0.108948,0.773087,2.0,1.0
177,1.0,19.317148,1.731195,49.650897,0.0,1.0,2.919751,3.576103,2.0,0.0,1.949308,1.940182,1.0,2.0,1.0
178,0.0,30.444081,1.761068,118.370628,1.0,1.0,2.571274,3.0,2.0,0.0,2.224164,1.018158,1.152899,2.0,0.0
179,1.0,30.0,1.65,71.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0
180,0.0,21.0,1.62,70.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0
181,0.0,23.335391,1.71338,82.085549,1.0,1.0,2.716909,2.598079,2.0,0.0,2.90545,1.600431,0.176892,2.0,1.0
182,0.0,35.719457,1.685947,83.3258,1.0,1.0,2.0,1.009426,2.0,0.0,2.136398,1.060349,0.0,0.0,0.0
183,1.0,18.0,1.6,60.38109231278125,1.0,1.0,2.0,3.0,3.0,0.0,1.0,0.7361319987319135,1.0,2.0,1.0
184,0.0,30.916426,1.781139,120.794535,1.0,1.0,2.111887,3.0,2.0,0.0,2.357373,0.425621,1.416353,2.0,0.0
185,0.0,23.812795,1.767121,116.164351,1.0,1.0,1.655684,3.0,2.0,0.0,2.0,0.976425,0.690082,2.0,1.0
186,1.0,25.540865,1.668709,104.754958,1.0,1.0,3.0,3.0,2.0,0.0,1.412049,0.143955,0.753077,2.0,1.0
187,0.0,28.255199,1.816547,120.699119,1.0,1.0,2.997951,3.0,2.0,0.0,2.715856,0.739881,0.972054,2.0,0.0
188,0.0,20.491475,1.975663,120.702935,1.0,1.0,2.0,3.0,2.0,0.0,3.0,0.767013,1.0,2.0,1.0
189,0.0,25.062942,1.828391,120.998266,1.0,1.0,3.0,3.0,2.0,0.0,3.0,1.685369,0.264969,2.0,1.0
190,0.0,19.443639,1.744733,87.27989,1.0,1.0,2.442536,3.0,2.0,0.0,2.825629,3.0,0.0,2.0,1.0
191,0.0,17.521754,1.757958,52.09432,0.0,1.0,2.21498,2.64155,2.0,0.0,2.121251,0.998391,0.85882,2.0,1.0
192,1.0,25.524336,1.668931,104.768318,1.0,1.0,3.0,3.0,2.0,0.0,1.436616,0.167086,0.764717,2.0,1.0
193,0.0,22.480889,1.605662,82.470375,1.0,1.0,1.557287,1.0,2.0,0.0,2.371015,0.288032,2.0,2.0,1.0
194,0.0,20.406066,1.868931,63.199726,1.0,1.0,3.0,3.699594,2.0,0.0,2.825629,1.699592,0.071028,2.0,0.0
195,1.0,18.0,1.649439,84.897738,1.0,1.0,2.0,3.0,2.0,0.0,1.039313,1.0,0.0,0.0,1.0
196,0.0,24.82929,1.755967,112.256165,1.0,1.0,1.369529,3.0,2.0,0.0,2.0,1.596576,0.0026,2.0,1.0
197,1.0,18.233541,1.792378,137.859737,1.0,1.0,3.0,3.0,2.0,0.0,2.838893,1.990317,0.735868,2.0,1.0
198,0.0,16.496978,1.691206,50.0,0.0,1.0,2.0,1.630846,2.0,0.0,2.975528,0.548991,0.369134,2.0,1.0
199,0.0,23.0,1.681314,80.037202,1.0,1.0,2.0,2.9796,2.0,0.0,1.964435,0.189957,1.73216,0.0,1.0
200,1.0,19.726522,1.508267,61.10403,0.0,1.0,2.778079,3.0,2.0,0.0,1.696691,0.94224,0.879925,2.0,1.0
201,1.0,30.0,1.65,71.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0
202,1.0,22.226815,1.609068,83.785312,1.0,1.0,2.094184,2.735706,2.0,0.0,2.257922,2.230547,0.195339,0.0,1.0
