sexo,idade,altura,peso,historico_obesidade_familia,consome_comida_calorica,consome_vegetais,n_refeicoes,come_entre_refeicoes,fuma,consumo_diario_agua,frequencia_atividade_fisica,tempo_usando_eletronicos,consumo_alcool,tipo_transporte
F,18.603496,1.681719,90.671871,sim,sim,1.524428,3.0,,nao,1.383831,0.130417,1.0,as vezes,transporte publico
F,25.919571,1.610488,102.174953,sim,sim,3.0,3.0,as vezes,nao,1.032834,0.04525,0.922749,,transporte publico
M,38.0,1.75,,sim,nao,3.0,3.0,frequentemente,nao,1.0,2.0,1.0,nao,carro
F,22.836315,1.604893,82.0,sim,sim,1.00876,1.0,as vezes,nao,2.0,0.0,0.585912,as vezes,transporte publico
M,17.888073,1.841879,60.0,sim,sim,3.0,3.732126,as vezes,nao,2.0,2.000934,0.384662,nao,carro
F,18.0,1.6,55.0,nao,sim,2.0,4.0,frequentemente,nao,2.0,2.0,1.0,as vezes,transporte publico
M,17.06713,1.896734,59.895052,sim,sim,2.842102,3.34175,as vezes,nao,2.0,2.511157,0.560351,nao,carro
F,19.633898,1.66084,49.039794,nao,nao,2.750715,3.0,frequentemente,nao,,1.067817,1.0,as vezes,transporte publico
M,23.0,1.718981,81.66995,sim,sim,2.0,1.729553,as vezes,,1.400247,0.887923,1.011983,as vezes,transporte publico
M,26.011928,1.777251,106.452367,sim,sim,3.0,3.0,as vezes,nao,1.911379,1.911096,1.032392,as vezes,transporte publico
M,19.515324,1.879144,112.932984,sim,sim,2.0,2.152733,as vezes,nao,2.53369,0.917563,1.285838,as vezes,transporte publico
F,18.603496,1.681719,90.671871,sim,sim,1.524428,3.0,,nao,1.383831,0.130417,1.0,as vezes,transporte publico
F,21.962426,1.57206,43.919835,nao,nao,3.0,1.600812,frequentemente,nao,2.651258,0.600817,0.0,nao,transporte publico
M,20.0,1.56,45.0,nao,nao,2.0,3.0,as vezes,nao,2.0,1.0,1.0,as vezes,transporte publico
M,,1.796415,120.988454,sim,sim,2.475892,3.0,as vezes,nao,2.949356,1.866839,0.100048,as vezes,transporte publico
F,26.0,1.618573,104.928643,sim,sim,3.0,3.0,as vezes,nao,1.698767,0.0,0.54396,as vezes,transporte publico
M,30.79626,1.789421,109.599453,sim,sim,2.21498,2.282392,,nao,1.179942,1.771754,0.537659,as vezes,carro
F,33.251015,1.730379,75.920519,sim,sim,2.013782,2.625942,as vezes,nao,1.045586,0.553305,0.480214,as vezes,carro
F,23.0,1.608469,82.954796,sim,sim,2.150054,2.988539,as vezes,nao,2.768325,2.08515,0.0,nao,transporte publico
F,22.0,1.7,66.0,sim,nao,3.0,3.0,sempre,,2.0,2.0,1.0,as vezes,transporte publico
M,20.0,1.6,50.0,sim,nao,2.0,4.0,frequentemente,sim,2.0,3.0,2.0,nao,transporte publico
M,29.409825,1.801224,108.15619,sim,sim,2.385502,2.883984,as vezes,nao,2.140544,1.144876,1.767468,as vezes,carro
F,26.0,1.650125,111.939671,sim,sim,3.0,3.0,as vezes,nao,2.770732,0.0,0.125235,as vezes,transporte publico
F,40.993179,1.567756,79.493626,sim,sim,2.0,3.0,as vezes,nao,2.952506,0.0,0.0,nao,carro
M,25.846279,1.772731,115.828167,sim,sim,2.381164,3.0,as vezes,nao,2.170225,1.211048,1.89933,as vezes,transporte publico
,23.32012,1.705813,82.011962,sim,sim,2.784471,2.122545,as vezes,nao,2.984153,2.164472,0.203978,as vezes,transporte publico
F,18.233541,1.792378,137.859737,sim,sim,3.0,3.0,as vezes,nao,2.838893,1.990317,0.735868,as vezes,transporte publico
M,19.16097,1.662728,77.473204,sim,nao,2.008656,1.402771,as vezes,nao,3.0,0.112383,0.32803,as vezes,transporte publico
M,29.43879,1.770126,108.602715,sim,sim,3.0,3.0,as vezes,nao,1.163264,,1.604608,as vezes,carro
F,31.0,1.68,63.0,sim,sim,3.0,1.0,frequentemente,nao,2.0,1.0,1.0,as vezes,carro
M,17.0,1.66,,sim,sim,1.0,3.0,sempre,nao,2.0,1.0,1.0,as vezes,
F,22.547298,1.722461,51.881263,sim,sim,2.663421,3.0,frequentemente,nao,1.04111,0.794402,1.391948,nao,transporte publico
M,31.641081,1.676595,89.993812,sim,sim,2.934671,2.119682,as vezes,nao,2.041462,0.578074,0.0,as vezes,
M,31.761799,1.751688,119.205308,,sim,2.14961,3.0,as vezes,nao,2.133876,0.393452,0.345887,,carro
M,33.0,1.85,99.0,sim,sim,2.0,3.0,as vezes,sim,3.0,1.0,0.0,as vezes,carro
M,20.580984,1.798354,,sim,sim,2.0,3.0,as vezes,nao,2.401315,2.891986,0.0,nao,transporte publico
F,25.706285,1.585547,80.351263,sim,sim,2.0,1.0,as vezes,nao,2.0,0.0,0.0,as vezes,transporte publico
M,19.627,1.815409,85.302146,sim,sim,2.987148,3.483449,as vezes,nao,2.359246,2.060415,0.598999,as vezes,transporte publico
M,27.266287,1.828276,120.872294,sim,sim,,3.0,as vezes,nao,2.966647,1.159598,0.758897,as vezes,transporte publico
M,33.185661,1.836007,97.416417,sim,sim,2.0,1.724887,,nao,3.0,1.0,0.0,as vezes,carro
M,19.72925,1.793315,58.19515,sim,sim,2.508835,3.435905,as vezes,nao,2.076933,,1.443328,nao,
F,19.431662,1.631662,82.0,sim,sim,2.843456,2.937989,as vezes,nao,1.001995,0.0,1.554404,nao,transporte publico
M,23.096353,1.728183,,sim,sim,2.0,2.986172,as vezes,,2.364208,2.492402,1.632506,nao,transporte publico
F,26.0,1.621245,111.267334,sim,sim,3.0,3.0,as vezes,nao,2.605685,0.0,0.199227,as vezes,transporte publico
M,20.068432,1.657132,105.580491,sim,sim,2.724121,1.437959,,nao,1.590418,0.029603,1.122118,nao,transporte publico
F,18.312665,1.60074,82.249831,sim,sim,2.501236,3.0,as vezes,nao,1.220331,0.245003,0.537202,nao,transporte publico
M,21.0,1.71,100.0,sim,sim,2.0,1.0,as vezes,nao,2.0,0.0,2.0,nao,transporte publico
M,,1.69151,102.59518,sim,sim,2.680375,1.089048,as vezes,nao,1.366238,0.181324,1.041677,nao,
M,17.908114,1.793926,59.682591,sim,sim,2.568063,4.0,as vezes,nao,2.0,2.0,0.220029,nao,carro
F,19.0,1.54,42.0,nao,sim,3.0,1.0,as vezes,nao,2.0,0.0,1.0,nao,transporte publico
M,19.515324,1.879144,112.932984,sim,sim,2.0,2.152733,as vezes,nao,2.53369,0.917563,1.285838,as vezes,transporte publico
M,28.712995,1.665585,98.66176,sim,sim,2.95801,2.834253,as vezes,nao,1.0,1.999886,0.0,nao,transporte publico
M,,1.796415,120.988454,sim,sim,2.475892,3.0,as vezes,nao,2.949356,1.866839,0.100048,as vezes,transporte publico
M,17.0,1.844749,59.313525,sim,sim,2.432886,3.0,as vezes,nao,,2.697949,1.0,nao,carro
F,19.821996,1.653431,75.090439,sim,nao,2.766036,2.443812,as vezes,nao,2.707927,0.702839,0.827439,as vezes,transporte publico
M,31.484494,1.707613,82.586893,sim,sim,2.795086,3.250467,as vezes,nao,1.367876,0.022958,0.0,nao,carro
M,22.851834,1.854592,63.611109,sim,sim,3.0,3.691226,as vezes,nao,2.650989,1.228136,0.8324,as vezes,carro
M,28.825279,1.815347,120.399758,,sim,2.9673,3.0,as vezes,,2.530035,,0.947866,as vezes,carro
M,,1.855779,86.098523,sim,sim,2.0,2.372339,as vezes,nao,1.675733,1.066241,1.0,as vezes,carro
F,25.919241,1.611462,102.093223,sim,sim,3.0,3.0,as vezes,nao,1.023328,0.05093,1.0,as vezes,transporte publico
F,17.099015,1.6,65.0,sim,sim,3.0,2.401341,as vezes,nao,2.0,0.663896,1.753745,as vezes,transporte publico
F,23.0,1.66,,sim,nao,2.0,3.0,as vezes,nao,2.0,3.0,0.0,as vezes,transporte publico
M,23.0,1.72,66.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,1.0,as vezes,andando
F,26.0,1.650125,111.939671,sim,sim,3.0,3.0,as vezes,nao,2.770732,0.0,0.125235,as vezes,transporte publico
F,18.869151,1.756774,79.989789,sim,sim,2.0,2.658639,as vezes,nao,2.781628,1.955992,1.409198,frequentemente,transporte publico
F,38.0,1.5,60.0,sim,sim,2.0,1.0,sempre,sim,2.0,0.0,0.0,as vezes,carro
M,26.348156,1.830317,117.75701,sim,sim,2.068834,3.0,as vezes,nao,,1.217993,0.038253,as vezes,transporte publico
M,18.0,1.717826,51.7325,sim,sim,,3.0,as vezes,nao,1.325326,0.227985,1.708309,as vezes,transporte publico
,19.0,1.56,50.0,nao,sim,2.0,1.0,as vezes,nao,1.0,0.0,,nao,transporte publico
F,38.0,1.5,60.0,sim,sim,2.0,1.0,sempre,sim,2.0,0.0,0.0,as vezes,carro
F,33.251015,1.730379,75.920519,sim,sim,2.013782,2.625942,as vezes,nao,1.045586,0.553305,0.480214,as vezes,carro
F,18.0,1.456346,55.523481,nao,sim,2.0,3.0,as vezes,nao,1.040342,0.497373,1.783319,as vezes,transporte publico
M,22.771001,1.86516,121.527369,sim,sim,2.739,2.740492,as vezes,nao,1.824561,1.094839,0.0,as vezes,transporte publico
F,25.617227,1.628019,108.265922,sim,sim,3.0,3.0,as vezes,nao,1.6213,0.090917,0.438216,as vezes,transporte publico
F,39.0,,50.0,nao,sim,3.0,4.0,frequentemente,nao,2.0,0.0,0.0,as vezes,transporte publico
F,25.989938,1.644199,105.036075,sim,sim,3.0,3.0,as vezes,nao,2.310076,0.07115,0.733085,as vezes,transporte publico
F,24.449655,1.635062,113.277388,sim,sim,3.0,3.0,as vezes,nao,2.578038,0.165422,0.463196,as vezes,transporte publico
M,23.0,1.72,,sim,nao,3.0,,frequentemente,nao,1.0,0.0,0.0,as vezes,transporte publico
M,38.71216,1.770278,117.29188,sim,sim,2.252382,2.842848,as vezes,nao,1.879381,0.919388,0.0,as vezes,carro
M,22.927011,1.751046,95.285898,sim,sim,2.0,3.0,as vezes,nao,2.530301,2.89118,1.287117,nao,transporte publico
M,22.0,1.65,80.0,sim,nao,2.0,3.0,as vezes,nao,2.0,3.0,2.0,nao,andando
F,25.909353,1.644078,102.277765,sim,sim,3.0,3.0,as vezes,nao,1.029241,0.075776,1.0,as vezes,transporte publico
F,26.0,1.643017,111.720238,sim,sim,3.0,3.0,as vezes,nao,2.632498,0.0,0.140792,as vezes,transporte publico
M,19.97981,1.75336,54.997374,sim,sim,2.0,3.494849,as vezes,nao,2.976672,1.94907,2.0,nao,transporte publico
M,25.822348,1.766626,114.187096,sim,sim,2.075321,3.0,as vezes,nao,2.144838,1.501754,0.276319,as vezes,transporte publico
,19.725718,1.746529,129.363771,sim,sim,,3.0,as vezes,nao,2.250711,0.64235,0.685129,as vezes,transporte publico
F,23.0,1.48,60.0,sim,sim,2.0,1.0,as vezes,sim,,0.0,0.0,as vezes,transporte publico
M,18.0,1.74,,nao,nao,3.0,3.0,as vezes,nao,2.0,3.0,0.0,nao,transporte publico
F,26.0,1.629191,104.826776,sim,sim,3.0,3.0,as vezes,nao,2.654702,0.0,0.555468,as vezes,transporte publico
M,29.695603,1.842943,93.798055,sim,sim,2.133955,,as vezes,nao,1.753464,1.729987,1.0,as vezes,transporte publico
,26.225442,1.773664,,sim,sim,2.442536,3.0,as vezes,nao,2.174371,0.0,1.928972,as vezes,transporte publico
,33.732714,1.679725,74.885222,sim,sim,3.0,1.13715,as vezes,nao,1.000695,0.261274,0.0,as vezes,carro
,19.741202,1.816783,86.522799,sim,sim,2.0,3.0,as vezes,nao,2.177386,0.336814,0.004813,as vezes,transporte publico
M,28.255199,1.816547,120.699119,sim,sim,2.997951,3.0,as vezes,nao,2.715856,0.739881,0.972054,as vezes,carro
M,18.525834,1.776989,57.275946,sim,sim,2.0,3.747163,as vezes,nao,2.575535,2.0,1.84383,nao,carro
F,25.42724,1.683502,104.759643,sim,sim,3.0,3.0,as vezes,nao,1.525127,0.220825,0.896105,as vezes,transporte publico
M,25.300208,1.765258,,sim,sim,1.562804,3.0,,nao,2.075493,1.553734,0.000436,as vezes,transporte publico
F,,1.532897,65.031879,sim,nao,2.0,1.0,as vezes,nao,1.0,0.262171,0.0,nao,
M,19.0,1.71,71.0,nao,sim,3.0,3.0,as vezes,nao,2.0,1.0,1.0,as vezes,transporte publico
F,27.0,1.55,62.877347,nao,sim,2.244142,1.704828,as vezes,nao,1.0,0.792929,0.395468,as vezes,transporte publico
F,24.284833,1.650726,113.774198,sim,sim,3.0,3.0,as vezes,nao,2.75137,0.324913,0.516764,as vezes,transporte publico
F,24.0,1.7,80.0,sim,sim,2.0,3.0,as vezes,nao,3.0,0.0,0.0,nao,transporte publico
M,29.389239,1.681855,90.0,sim,sim,2.08841,2.644692,as vezes,nao,2.773236,1.252472,0.0,as vezes,carro
M,18.611197,1.714143,96.568814,sim,sim,2.0,2.967089,as vezes,nao,2.0,0.0,0.467048,nao,transporte publico
M,17.412629,,97.350366,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,0.931721,nao,transporte publico
M,31.689773,1.76569,120.082941,sim,sim,2.821727,3.0,as vezes,nao,2.173279,1.096556,0.232858,as vezes,carro
F,19.262934,1.741014,132.57927,sim,sim,3.0,3.0,as vezes,nao,2.436261,1.464674,0.87092,as vezes,transporte publico
F,19.0,1.559567,42.12617,nao,sim,3.0,1.989398,as vezes,nao,2.241607,0.206025,0.284453,nao,transporte publico
F,19.442663,1.627812,82.0,sim,sim,1.081585,2.870661,as vezes,nao,1.11756,0.0,1.616826,as vezes,transporte publico
M,19.0,1.7,,sim,nao,2.0,3.0,frequentemente,nao,2.0,1.0,0.0,nao,transporte publico
F,18.985119,1.759117,80.0,sim,sim,2.0,1.411808,as vezes,nao,2.651194,2.878414,0.953841,nao,transporte publico
M,33.0,1.75,85.0,nao,nao,2.0,3.0,as vezes,nao,2.0,1.0,0.0,as vezes,transporte publico
M,22.0,1.68,55.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,2.0,as vezes,carro
,21.652229,1.700181,,sim,sim,2.086093,3.546352,as vezes,nao,2.081121,1.993666,0.673835,as vezes,transporte publico
M,37.056193,1.75015,118.206565,sim,sim,2.09283,3.0,as vezes,nao,2.077704,0.598655,0.0,as vezes,carro
M,23.0,1.701584,75.093569,sim,sim,3.0,3.205009,as vezes,nao,2.643468,0.998039,1.898139,as vezes,transporte publico
F,23.0,1.728834,51.442293,sim,sim,2.0,3.0,frequentemente,nao,1.229915,0.619533,2.0,nao,transporte publico
M,18.0,1.782722,108.044313,sim,sim,2.0,2.655265,as vezes,nao,2.297896,1.0,0.552665,nao,transporte publico
,21.721507,1.849998,122.119682,sim,sim,3.0,2.014671,as vezes,nao,1.292786,0.145687,0.0,as vezes,transporte publico
M,19.443639,1.744733,87.27989,sim,sim,2.442536,3.0,as vezes,nao,2.825629,3.0,0.0,as vezes,transporte publico
F,26.0,1.59,47.0,sim,sim,2.0,1.0,as vezes,nao,2.0,0.0,2.0,as vezes,transporte publico
M,19.084317,1.851123,61.264785,sim,sim,3.0,3.994588,as vezes,nao,2.548527,1.285976,0.267076,as vezes,carro
F,21.016849,1.724268,133.033523,sim,sim,3.0,3.0,as vezes,nao,1.650612,1.537639,0.912457,as vezes,transporte publico
M,31.630054,1.671705,90.0,sim,sim,2.467002,1.851088,as vezes,nao,2.104054,1.991565,0.0,as vezes,carro
M,33.015258,1.73196,84.315608,,sim,2.0,3.0,as vezes,nao,2.205911,1.293396,0.0,,carro
F,21.0,1.72,66.5,sim,sim,3.0,4.0,sempre,nao,3.0,0.0,2.0,nao,transporte publico
M,21.997335,1.65,80.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.527341,2.0,nao,transporte publico
F,21.0,1.65,88.0,sim,sim,3.0,1.0,as vezes,nao,3.0,2.0,1.0,nao,transporte publico
M,26.684354,1.819535,118.332689,sim,sim,1.975675,3.0,as vezes,nao,2.357969,0.704236,0.010721,as vezes,transporte publico
M,21.544554,1.84998,122.609911,sim,sim,3.0,1.971659,as vezes,nao,1.179254,0.178856,0.0,as vezes,transporte publico
F,17.000433,1.584951,44.411801,nao,sim,2.737762,3.0,as vezes,nao,2.310921,2.240714,1.59257,as vezes,transporte publico
M,19.556729,1.767563,56.307019,sim,sim,2.362918,4.0,as vezes,nao,2.358172,2.0,0.939819,nao,carro
M,21.0,1.62,70.0,,sim,2.0,1.0,nao,nao,3.0,1.0,,as vezes,transporte publico
M,23.365649,1.757691,95.361795,sim,sim,,3.0,as vezes,nao,3.0,3.0,2.0,nao,transporte publico
F,18.423482,1.735461,126.798173,sim,sim,3.0,3.0,as vezes,nao,2.38639,1.544632,0.900067,as vezes,transporte publico
F,19.090023,1.562434,70.442775,sim,nao,2.748243,3.070386,as vezes,nao,1.962322,1.145752,1.0,nao,transporte publico
F,26.0,1.626483,111.357062,sim,sim,3.0,3.0,as vezes,nao,2.61939,0.0,0.171034,as vezes,transporte publico
F,38.148845,1.557808,79.661693,sim,sim,2.0,3.0,as vezes,nao,1.274774,0.0,0.0,as vezes,carro
M,30.605464,1.754796,118.805937,sim,sim,2.907542,3.0,as vezes,nao,2.284494,0.647632,1.668318,as vezes,carro
F,18.0,1.62,68.0,nao,nao,2.0,1.0,as vezes,nao,,0.0,2.0,nao,transporte publico
M,27.991467,1.82559,120.860386,sim,sim,3.0,3.0,as vezes,nao,3.0,0.691369,1.415536,as vezes,transporte publico
M,21.098035,1.690437,96.366777,sim,sim,2.0,2.95833,as vezes,nao,2.0,0.0,1.595306,nao,transporte publico
M,21.0,1.85,83.0,sim,sim,2.0,1.0,frequentemente,nao,3.0,1.0,0.0,nao,transporte publico
F,18.0,1.7,50.0,,nao,2.0,3.0,as vezes,nao,2.0,0.0,1.0,as vezes,andando
F,18.0,1.692242,90.019501,sim,sim,2.642744,3.0,as vezes,nao,1.904054,1.645654,0.363549,as vezes,
F,18.83919,1.624831,69.975607,sim,sim,2.253998,2.752318,as vezes,nao,2.328331,0.815509,0.024088,nao,transporte publico
M,16.0,1.82,71.0,sim,sim,2.0,3.0,frequentemente,nao,2.0,2.0,1.0,as vezes,transporte publico
F,21.0,1.69,63.0,nao,sim,3.0,1.0,as vezes,nao,1.0,0.0,0.0,as vezes,transporte publico
F,25.908431,,103.026858,sim,sim,3.0,3.0,as vezes,nao,1.077253,0.162083,0.824607,as vezes,transporte publico
F,26.0,1.622701,109.982692,sim,sim,3.0,3.0,as vezes,nao,2.688229,0.0,0.451377,as vezes,transporte publico
M,30.403205,1.696365,102.815983,sim,sim,2.79166,2.13229,as vezes,nao,1.254589,0.652736,1.040713,nao,transporte publico
F,22.867719,1.655413,50.424661,sim,sim,3.0,3.642802,,nao,1.995177,0.118271,0.065515,nao,transporte publico
M,19.241058,1.856811,88.633616,sim,sim,2.047069,,as vezes,nao,1.641022,1.554817,0.248218,as vezes,transporte publico
M,18.011718,1.680991,79.752916,sim,sim,2.413156,2.521546,,nao,1.985312,0.00705,,as vezes,transporte publico
F,26.0,1.643332,110.824698,sim,sim,3.0,3.0,as vezes,nao,2.709654,0.0,,as vezes,transporte publico
F,19.349258,1.52337,42.0,nao,sim,2.913486,1.060796,frequentemente,nao,1.596212,0.108948,0.773087,as vezes,transporte publico
F,19.317148,1.731195,49.650897,nao,sim,2.919751,3.576103,as vezes,nao,1.949308,1.940182,1.0,as vezes,transporte publico
M,30.444081,1.761068,118.370628,sim,sim,2.571274,3.0,as vezes,nao,2.224164,1.018158,1.152899,as vezes,carro
F,30.0,1.65,71.0,sim,sim,2.0,3.0,as vezes,nao,1.0,0.0,0.0,as vezes,
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
M,23.335391,1.71338,82.085549,sim,sim,2.716909,2.598079,as vezes,nao,2.90545,1.600431,0.176892,as vezes,transporte publico
M,35.719457,1.685947,83.3258,sim,sim,2.0,1.009426,as vezes,nao,2.136398,1.060349,0.0,nao,carro
F,18.0,1.6,,sim,sim,2.0,3.0,frequentemente,nao,1.0,,1.0,as vezes,transporte publico
M,30.916426,1.781139,120.794535,,sim,2.111887,3.0,as vezes,nao,2.357373,0.425621,1.416353,as vezes,carro
M,23.812795,1.767121,116.164351,sim,sim,1.655684,3.0,as vezes,nao,2.0,0.976425,0.690082,as vezes,transporte publico
F,25.540865,1.668709,104.754958,sim,sim,3.0,3.0,as vezes,nao,1.412049,0.143955,0.753077,as vezes,transporte publico
M,28.255199,1.816547,120.699119,sim,sim,2.997951,3.0,as vezes,nao,2.715856,0.739881,0.972054,as vezes,carro
M,20.491475,1.975663,120.702935,sim,sim,2.0,3.0,as vezes,nao,3.0,0.767013,1.0,as vezes,transporte publico
M,25.062942,1.828391,120.998266,sim,sim,3.0,3.0,as vezes,nao,3.0,1.685369,0.264969,as vezes,transporte publico
M,19.443639,1.744733,87.27989,sim,sim,2.442536,3.0,as vezes,nao,2.825629,3.0,0.0,as vezes,transporte publico
M,17.521754,1.757958,52.09432,nao,sim,2.21498,2.64155,as vezes,nao,2.121251,0.998391,0.85882,as vezes,transporte publico
F,25.524336,1.668931,104.768318,sim,sim,3.0,3.0,as vezes,nao,1.436616,0.167086,0.764717,as vezes,transporte publico
,22.480889,1.605662,82.470375,sim,sim,1.557287,1.0,as vezes,nao,2.371015,0.288032,2.0,as vezes,transporte publico
M,20.406066,1.868931,63.199726,sim,sim,3.0,3.699594,as vezes,nao,2.825629,1.699592,0.071028,as vezes,carro
F,18.0,1.649439,84.897738,sim,sim,2.0,3.0,,nao,1.039313,1.0,0.0,nao,transporte publico
M,24.82929,1.755967,112.256165,sim,sim,1.369529,3.0,as vezes,nao,2.0,1.596576,0.0026,as vezes,transporte publico
F,18.233541,1.792378,137.859737,sim,sim,3.0,3.0,as vezes,nao,2.838893,1.990317,0.735868,as vezes,transporte publico
M,16.496978,1.691206,50.0,nao,sim,2.0,1.630846,,nao,2.975528,0.548991,0.369134,as vezes,transporte publico
,23.0,1.681314,80.037202,sim,sim,2.0,2.9796,as vezes,nao,1.964435,0.189957,1.73216,nao,transporte publico
F,19.726522,1.508267,61.10403,nao,sim,2.778079,3.0,as vezes,nao,1.696691,0.94224,0.879925,as vezes,transporte publico
F,30.0,1.65,71.0,sim,sim,2.0,3.0,as vezes,nao,1.0,0.0,0.0,as vezes,
F,22.226815,1.609068,83.785312,sim,sim,2.094184,2.735706,as vezes,nao,2.257922,2.230547,0.195339,nao,transporte publico
F,23.586058,1.700499,81.108599,sim,sim,2.042762,2.9774,as vezes,nao,1.522426,0.501417,1.029135,as vezes,transporte publico
F,21.566815,1.748533,133.94608,sim,sim,3.0,3.0,as vezes,nao,2.833566,1.413239,0.862724,as vezes,transporte publico
M,19.329542,,55.700497,sim,sim,2.0,4.0,as vezes,nao,2.157395,2.0,1.679149,nao,carro
M,17.671064,1.854706,59.20945,sim,sim,2.707666,3.737914,as vezes,nao,2.026547,2.009397,0.613971,nao,carro
F,34.0,1.68,75.0,nao,sim,3.0,1.0,,nao,1.0,0.0,0.0,as vezes,carro
F,22.846357,1.757442,133.365094,sim,sim,3.0,3.0,as vezes,nao,2.84837,1.206059,0.766668,as vezes,transporte publico
F,26.0,1.629191,104.826776,sim,sim,3.0,3.0,as vezes,nao,2.654702,0.0,0.555468,as vezes,transporte publico
M,17.377131,1.811238,58.83071,sim,sim,2.483979,3.762778,as vezes,nao,2.0,2.0,0.930051,nao,carro
M,25.426457,1.836592,118.377601,sim,sim,1.84199,3.0,as vezes,nao,2.503244,1.226019,0.078207,as vezes,transporte publico
F,19.993565,,152.43563,sim,sim,3.0,3.0,as vezes,nao,2.365188,1.256115,0.760091,as vezes,transporte publico
M,24.201622,,120.589419,sim,sim,2.113843,3.0,as vezes,nao,2.316069,1.804157,0.357314,as vezes,transporte publico
M,25.0,1.78,78.0,sim,sim,2.0,1.0,as vezes,nao,2.0,2.0,,as vezes,transporte publico
F,20.225396,1.550648,44.641796,nao,sim,3.0,2.857787,frequentemente,nao,1.0,0.754646,0.0,as vezes,transporte publico
F,36.0,1.58,60.0,sim,nao,3.0,3.0,as vezes,nao,1.0,2.0,0.0,as vezes,carro
F,21.022206,1.73995,135.693381,sim,,3.0,3.0,as vezes,nao,1.663213,1.094035,0.786665,as vezes,transporte publico
M,19.865895,1.76033,55.3707,sim,sim,2.120185,4.0,as vezes,nao,2.582165,2.0,1.510609,nao,carro
M,33.0,1.85,93.0,sim,sim,2.0,3.0,as vezes,nao,1.0,1.0,1.0,as vezes,andando
M,18.0,1.845399,60.0,sim,sim,3.0,4.0,as vezes,nao,2.0,2.0,0.0,nao,carro
F,37.471683,1.549812,,sim,sim,2.0,2.765213,as vezes,nao,,1.350001,0.0,as vezes,carro
M,33.100581,1.838791,87.85785,nao,sim,2.814453,2.608055,as vezes,nao,1.85916,2.0,0.516084,nao,carro
M,22.429812,1.64037,70.0,nao,sim,2.0,1.0,nao,nao,2.069184,0.729898,0.0,as vezes,transporte publico
M,40.366238,1.722396,109.349025,sim,sim,2.281963,3.770379,as vezes,nao,1.0,1.330519,0.0,nao,carro
